src,dest,pathway
4803,53358,R-HSA-187037
4803,6016,R-HSA-187037
4803,6014,R-HSA-187037
4803,57498,R-HSA-187037
4914,6774,R-HSA-187037
4914,1399,R-HSA-187037
4914,5906,R-HSA-187037
4914,25759,R-HSA-187037
4914,2889,R-HSA-187037
4914,53358,R-HSA-187037
4914,6016,R-HSA-187037
4914,6014,R-HSA-187037
4914,57498,R-HSA-187037
1211,4803,R-HSA-187037
1211,4914,R-HSA-187037
1211,1213,R-HSA-187037
1959,3400,R-HSA-187037
1959,6236,R-HSA-187037
1959,3398,R-HSA-187037
1959,4665,R-HSA-187037
1959,23237,R-HSA-187037
5898,6714,R-HSA-187037
5899,6714,R-HSA-187037
6722,1959,R-HSA-187037
6722,1958,R-HSA-187037
6722,1961,R-HSA-187037
6722,23237,R-HSA-187037
6714,5600,R-HSA-187037
6714,1432,R-HSA-187037
4066,3397,R-HSA-187037
4066,3399,R-HSA-187037
673,4803,R-HSA-187037
673,4914,R-HSA-187037
673,5595,R-HSA-187037
673,5605,R-HSA-187037
673,1398,R-HSA-187037
673,5906,R-HSA-187037
673,5604,R-HSA-187037
673,6016,R-HSA-187037
673,6014,R-HSA-187037
673,57498,R-HSA-187037
1386,7425,R-HSA-187037
1386,1385,R-HSA-187037
1386,429,R-HSA-187037
1386,6938,R-HSA-187037
8061,23237,R-HSA-187037
1385,7425,R-HSA-187037
1385,6722,R-HSA-187037
1385,4066,R-HSA-187037
1385,1958,R-HSA-187037
1385,466,R-HSA-187037
1385,3397,R-HSA-187037
1385,429,R-HSA-187037
1385,3399,R-HSA-187037
1385,4209,R-HSA-187037
1385,23237,R-HSA-187037
3726,2353,R-HSA-187037
3726,8061,R-HSA-187037
3726,3727,R-HSA-187037
3726,2354,R-HSA-187037
3726,23237,R-HSA-187037
3727,8061,R-HSA-187037
3727,2354,R-HSA-187037
3727,23237,R-HSA-187037
1958,7425,R-HSA-187037
1958,2152,R-HSA-187037
1958,7166,R-HSA-187037
1958,6236,R-HSA-187037
1958,4664,R-HSA-187037
1958,8851,R-HSA-187037
1958,4665,R-HSA-187037
1958,23237,R-HSA-187037
1958,10221,R-HSA-187037
116,4914,R-HSA-187037
116,4915,R-HSA-187037
466,7425,R-HSA-187037
466,429,R-HSA-187037
5335,4803,R-HSA-187037
5335,4914,R-HSA-187037
2002,1959,R-HSA-187037
2002,6722,R-HSA-187037
2002,1958,R-HSA-187037
2002,1961,R-HSA-187037
5595,9252,R-HSA-187037
5595,2002,R-HSA-187037
5595,6197,R-HSA-187037
5595,6196,R-HSA-187037
5595,6195,R-HSA-187037
5295,4803,R-HSA-187037
5295,4914,R-HSA-187037
5295,3667,R-HSA-187037
5295,5290,R-HSA-187037
5295,5291,R-HSA-187037
5295,8660,R-HSA-187037
5594,9252,R-HSA-187037
5594,673,R-HSA-187037
5594,2002,R-HSA-187037
5594,5605,R-HSA-187037
5594,6197,R-HSA-187037
5594,5906,R-HSA-187037
5594,5604,R-HSA-187037
5594,6196,R-HSA-187037
5594,6195,R-HSA-187037
135,4914,R-HSA-187037
135,4915,R-HSA-187037
6464,4893,R-HSA-187037
6464,3265,R-HSA-187037
6464,3845,R-HSA-187037
6464,4803,R-HSA-187037
6464,4914,R-HSA-187037
5518,5595,R-HSA-187037
5518,5594,R-HSA-187037
5518,5516,R-HSA-187037
5518,5515,R-HSA-187037
5518,5598,R-HSA-187037
5518,5528,R-HSA-187037
5519,5595,R-HSA-187037
5519,5594,R-HSA-187037
5519,5516,R-HSA-187037
5519,5515,R-HSA-187037
5519,5598,R-HSA-187037
5519,5528,R-HSA-187037
7529,4803,R-HSA-187037
7529,4914,R-HSA-187037
7529,673,R-HSA-187037
7529,5595,R-HSA-187037
7529,5594,R-HSA-187037
7529,5605,R-HSA-187037
7529,1398,R-HSA-187037
7529,5906,R-HSA-187037
7529,5604,R-HSA-187037
7529,57498,R-HSA-187037
3667,4803,R-HSA-187037
3667,4914,R-HSA-187037
5605,5595,R-HSA-187037
5605,5906,R-HSA-187037
117,4914,R-HSA-187037
117,116,R-HSA-187037
117,4915,R-HSA-187037
5290,5296,R-HSA-187037
5290,4803,R-HSA-187037
5290,4914,R-HSA-187037
5290,3667,R-HSA-187037
5290,8660,R-HSA-187037
5291,4803,R-HSA-187037
5291,4914,R-HSA-187037
5291,3667,R-HSA-187037
5291,8660,R-HSA-187037
1398,4803,R-HSA-187037
1398,4914,R-HSA-187037
1398,5906,R-HSA-187037
1398,57498,R-HSA-187037
1399,5906,R-HSA-187037
1399,2889,R-HSA-187037
9261,1385,R-HSA-187037
429,7425,R-HSA-187037
1785,161,R-HSA-187037
1785,160,R-HSA-187037
1785,4803,R-HSA-187037
1785,4914,R-HSA-187037
1785,1211,R-HSA-187037
1785,1175,R-HSA-187037
1785,163,R-HSA-187037
1785,1213,R-HSA-187037
1785,23237,R-HSA-187037
1785,1173,R-HSA-187037
1785,6456,R-HSA-187037
1845,5595,R-HSA-187037
1845,5594,R-HSA-187037
1845,5598,R-HSA-187037
1845,51231,R-HSA-187037
6197,1385,R-HSA-187037
2354,23237,R-HSA-187037
1175,4803,R-HSA-187037
1175,4914,R-HSA-187037
1175,1211,R-HSA-187037
1175,163,R-HSA-187037
1175,1213,R-HSA-187037
1175,1173,R-HSA-187037
6300,6714,R-HSA-187037
6300,5600,R-HSA-187037
6300,1432,R-HSA-187037
5516,5595,R-HSA-187037
5516,5594,R-HSA-187037
5516,5598,R-HSA-187037
5516,5528,R-HSA-187037
5906,4803,R-HSA-187037
5906,4914,R-HSA-187037
5906,5595,R-HSA-187037
5906,1398,R-HSA-187037
5906,57498,R-HSA-187037
2885,4893,R-HSA-187037
2885,3265,R-HSA-187037
2885,3845,R-HSA-187037
2885,6464,R-HSA-187037
2885,25759,R-HSA-187037
2885,6654,R-HSA-187037
2885,53358,R-HSA-187037
163,4803,R-HSA-187037
163,4914,R-HSA-187037
163,1211,R-HSA-187037
163,1213,R-HSA-187037
5515,5595,R-HSA-187037
5515,5594,R-HSA-187037
5515,5598,R-HSA-187037
5515,5528,R-HSA-187037
25759,4893,R-HSA-187037
25759,3265,R-HSA-187037
25759,3845,R-HSA-187037
1020,8941,R-HSA-187037
1213,4803,R-HSA-187037
1213,4914,R-HSA-187037
5604,5595,R-HSA-187037
5604,5605,R-HSA-187037
5604,5906,R-HSA-187037
1759,161,R-HSA-187037
1759,160,R-HSA-187037
1759,4803,R-HSA-187037
1759,4914,R-HSA-187037
1759,1211,R-HSA-187037
1759,1175,R-HSA-187037
1759,163,R-HSA-187037
1759,1213,R-HSA-187037
1759,1173,R-HSA-187037
1759,6456,R-HSA-187037
1960,4665,R-HSA-187037
1960,23237,R-HSA-187037
6654,4893,R-HSA-187037
6654,3265,R-HSA-187037
6654,3845,R-HSA-187037
6654,6464,R-HSA-187037
6654,25759,R-HSA-187037
6654,53358,R-HSA-187037
2033,7425,R-HSA-187037
2033,4066,R-HSA-187037
2033,1386,R-HSA-187037
2033,1385,R-HSA-187037
2033,466,R-HSA-187037
2033,3397,R-HSA-187037
2033,429,R-HSA-187037
2033,3399,R-HSA-187037
2033,6938,R-HSA-187037
5900,5898,R-HSA-187037
5900,5899,R-HSA-187037
1846,5595,R-HSA-187037
1846,5594,R-HSA-187037
1846,5598,R-HSA-187037
5978,7425,R-HSA-187037
5607,5598,R-HSA-187037
5598,6197,R-HSA-187037
5598,4205,R-HSA-187037
5598,4208,R-HSA-187037
5598,6196,R-HSA-187037
5598,6195,R-HSA-187037
4664,1958,R-HSA-187037
2889,5906,R-HSA-187037
5528,5595,R-HSA-187037
5528,5594,R-HSA-187037
5528,5598,R-HSA-187037
4209,6722,R-HSA-187037
4209,23237,R-HSA-187037
1108,1959,R-HSA-187037
1108,3400,R-HSA-187037
1108,6236,R-HSA-187037
1108,3398,R-HSA-187037
1108,4665,R-HSA-187037
8851,1020,R-HSA-187037
6196,1385,R-HSA-187037
6195,1385,R-HSA-187037
4665,1958,R-HSA-187037
4665,3400,R-HSA-187037
4665,6236,R-HSA-187037
4665,3398,R-HSA-187037
4665,8851,R-HSA-187037
5600,9252,R-HSA-187037
5600,9261,R-HSA-187037
5600,7867,R-HSA-187037
1432,9252,R-HSA-187037
1432,9261,R-HSA-187037
1432,7867,R-HSA-187037
1848,5595,R-HSA-187037
1848,5594,R-HSA-187037
1848,5598,R-HSA-187037
1849,5595,R-HSA-187037
1849,5594,R-HSA-187037
1849,5598,R-HSA-187037
51231,5595,R-HSA-187037
51231,5594,R-HSA-187037
51231,5598,R-HSA-187037
10818,4803,R-HSA-187037
10818,4914,R-HSA-187037
10818,1399,R-HSA-187037
10818,5906,R-HSA-187037
10818,2889,R-HSA-187037
53358,4893,R-HSA-187037
53358,3265,R-HSA-187037
53358,3845,R-HSA-187037
1173,4803,R-HSA-187037
1173,4914,R-HSA-187037
1173,1211,R-HSA-187037
1173,163,R-HSA-187037
1173,1213,R-HSA-187037
6938,7425,R-HSA-187037
6938,1385,R-HSA-187037
6938,466,R-HSA-187037
6938,429,R-HSA-187037
6456,161,R-HSA-187037
6456,160,R-HSA-187037
6456,4803,R-HSA-187037
6456,4914,R-HSA-187037
6456,1211,R-HSA-187037
6456,1175,R-HSA-187037
6456,163,R-HSA-187037
