Epoch 27 | Test_Loss  0.5876125991 | Test_ACC  0.706 | Test_AUC  0.770 | Test_F1_score  0.706 | Test_Sens  0.684 | Test_Spec  0.730
Epoch 28 | Test_Loss  0.5724359103 | Test_ACC  0.719 | Test_AUC  0.770 | Test_F1_score  0.681 | Test_Sens  0.582 | Test_Spec  0.865
Epoch 29 | Test_Loss  0.5739848769 | Test_ACC  0.654 | Test_AUC  0.730 | Test_F1_score  0.629 | Test_Sens  0.570 | Test_Spec  0.743
Epoch 30 | Test_Loss  0.5761438569 | Test_ACC  0.641 | Test_AUC  0.749 | Test_F1_score  0.631 | Test_Sens  0.595 | Test_Spec  0.689
Epoch 31 | Test_Loss  0.5774207387 | Test_ACC  0.686 | Test_AUC  0.754 | Test_F1_score  0.625 | Test_Sens  0.506 | Test_Spec  0.878
Epoch 32 | Test_Loss  0.5589276993 | Test_ACC  0.719 | Test_AUC  0.747 | Test_F1_score  0.691 | Test_Sens  0.608 | Test_Spec  0.838
Epoch 33 | Test_Loss  0.5700882297 | Test_ACC  0.673 | Test_AUC  0.747 | Test_F1_score  0.691 | Test_Sens  0.709 | Test_Spec  0.635
Epoch 34 | Test_Loss  0.5570509641 | Test_ACC  0.719 | Test_AUC  0.770 | Test_F1_score  0.703 | Test_Sens  0.646 | Test_Spec  0.797
Epoch 35 | Test_Loss  0.5561809410 | Test_ACC  0.719 | Test_AUC  0.763 | Test_F1_score  0.715 | Test_Sens  0.684 | Test_Spec  0.757
Epoch 36 | Test_Loss  0.5313248168 | Test_ACC  0.667 | Test_AUC  0.744 | Test_F1_score  0.662 | Test_Sens  0.633 | Test_Spec  0.703
Epoch 37 | Test_Loss  0.5509496046 | Test_ACC  0.680 | Test_AUC  0.784 | Test_F1_score  0.699 | Test_Sens  0.722 | Test_Spec  0.635
Epoch 38 | Test_Loss  0.5339473369 | Test_ACC  0.680 | Test_AUC  0.756 | Test_F1_score  0.662 | Test_Sens  0.608 | Test_Spec  0.757
Epoch 39 | Test_Loss  0.5281671635 | Test_ACC  0.673 | Test_AUC  0.734 | Test_F1_score  0.667 | Test_Sens  0.633 | Test_Spec  0.716
Epoch 40 | Test_Loss  0.5448368697 | Test_ACC  0.693 | Test_AUC  0.767 | Test_F1_score  0.719 | Test_Sens  0.759 | Test_Spec  0.622
Epoch 41 | Test_Loss  0.5268022897 | Test_ACC  0.686 | Test_AUC  0.744 | Test_F1_score  0.684 | Test_Sens  0.658 | Test_Spec  0.716
Epoch 42 | Test_Loss  0.5407958938 | Test_ACC  0.660 | Test_AUC  0.749 | Test_F1_score  0.690 | Test_Sens  0.734 | Test_Spec  0.581
